:END_ID(Level1),:START_ID(Dataset)
4461289417981121022,5796272586079160516
-6866596946227896009,5796272586079160516
-6084082860904430775,5796272586079160516
-7544798433136728935,5796272586079160516
-6265337569051040641,5796272586079160516
7664843047609591670,5796272586079160516
-448013062073912009,5796272586079160516
1368179911238069759,5796272586079160516
-820781892505530039,5796272586079160516
930844038703612534,5796272586079160516
6654163734251418171,5796272586079160516
-6895265488648545627,5796272586079160516
-1982224570475056178,5796272586079160516
8766048844436056400,5796272586079160516
8249011616057862458,5796272586079160516
473425598697786038,5796272586079160516
-4523163313940726832,5796272586079160516
-2280994088649940332,5796272586079160516
-4717693016523820080,5796272586079160516
-6141970095095469019,5796272586079160516
-7537264470612346689,5796272586079160516
-1342300744139967875,5796272586079160516
2184921949155732951,5796272586079160516
-2335413362222177205,5796272586079160516
2398711548889746869,5796272586079160516
6950013250318368179,5796272586079160516
-2053131881308667128,5796272586079160516
9172903362143564846,5796272586079160516
-7924653400239450232,5796272586079160516
1676926214469500629,5796272586079160516
-1677263010495314347,5796272586079160516
411095072805246295,5796272586079160516
-2656000082962151845,5796272586079160516
2093460387213095062,5796272586079160516
6429773084390435885,5796272586079160516
2838984192033096681,5796272586079160516
1122816437300693417,5796272586079160516
-4725966961394365673,5796272586079160516
-1255433278718449335,5796272586079160516
-5435979247367244171,5796272586079160516
-1061009096883752939,5796272586079160516
-3073336598872592318,5796272586079160516
1966963910402995992,5796272586079160516
7084161125519697748,5796272586079160516
8227362532585088965,5796272586079160516
-6500873193278941793,5796272586079160516
-1778189296206623051,5796272586079160516
-4728723869823510624,5796272586079160516
6863352694111257841,5796272586079160516
5831438239976507003,5796272586079160516
1310227541809363500,5796272586079160516
2829607254818132341,2818501711548443416
-3095702268181859803,2818501711548443416
-3106618913731029251,2818501711548443416
5386221581072006971,2818501711548443416
-4225115959782568279,2818501711548443416
1789350502471315667,2818501711548443416
-7782288664433282189,2818501711548443416
-1495653711296231158,2818501711548443416
7849262557194975293,2818501711548443416
-2686812827700420899,2818501711548443416
5255184543664338358,2818501711548443416
-1542077308621900725,566242629644762645
6941761064370594921,566242629644762645
