:END_ID(Category),:START_ID(Dataset)
-4703458733694374599,-3155065363378337760
4687106631149561834,8926619206087863011
-6097805585051225509,8926619206087863011
4687106631149561834,716648910769226276
-6097805585051225509,716648910769226276
4687106631149561834,5246413852606216760
-3121909766728792320,5246413852606216760
4687106631149561834,-2947301996058329485
-6097805585051225509,-2947301996058329485
4687106631149561834,1997699557479292810
-3121909766728792320,1997699557479292810
4687106631149561834,7185047542376461711
-6097805585051225509,7185047542376461711
4687106631149561834,-893534131488252486
-6097805585051225509,-893534131488252486
4687106631149561834,6684903526700580671
-6097805585051225509,6684903526700580671
4687106631149561834,3811183658189641187
-6097805585051225509,3811183658189641187
4687106631149561834,6852636628733948201
8138222883700124593,6852636628733948201
4687106631149561834,-5884133032162937194
8138222883700124593,-5884133032162937194
4687106631149561834,4925087698724120172
-6097805585051225509,4925087698724120172
4687106631149561834,-3332323164336779536
-6097805585051225509,-3332323164336779536
4687106631149561834,-9169304073342629602
3671262848689025573,-9169304073342629602
4687106631149561834,-5501892072434156523
-6097805585051225509,-5501892072434156523
4687106631149561834,8178874518001766049
-6097805585051225509,8178874518001766049
4687106631149561834,6324349487371269204
8138222883700124593,6324349487371269204
4687106631149561834,-7794791050580172997
-6097805585051225509,-7794791050580172997
4687106631149561834,181074848729972709
-6097805585051225509,181074848729972709
4687106631149561834,6843256864894761560
-6097805585051225509,6843256864894761560
4687106631149561834,8052883709185343601
-6097805585051225509,8052883709185343601
4687106631149561834,-4783497199755499473
-6097805585051225509,-4783497199755499473
4687106631149561834,-6477614683396433558
-6097805585051225509,-6477614683396433558
4687106631149561834,-8445789207686325550
-3616167640001006748,-8445789207686325550
4687106631149561834,3254548578726870486
-6097805585051225509,3254548578726870486
4687106631149561834,6117160543708298462
-6097805585051225509,6117160543708298462
4687106631149561834,8905036363850075975
-5976845813157767928,8905036363850075975
4687106631149561834,-5542024666140780891
8138222883700124593,-5542024666140780891
4687106631149561834,5740461090673494005
-2672473053555925323,5740461090673494005
4687106631149561834,-2692487515407316531
-6097805585051225509,-2692487515407316531
4687106631149561834,-4902411210972371181
-6097805585051225509,-4902411210972371181
4687106631149561834,-6038847697240790987
-2672473053555925323,-6038847697240790987
4687106631149561834,7400764163462342815
-6097805585051225509,7400764163462342815
4687106631149561834,3743904879812623353
-3121909766728792320,3743904879812623353
4687106631149561834,-8526271973457073376
-6097805585051225509,-8526271973457073376
4687106631149561834,-1347361769516674066
-6097805585051225509,-1347361769516674066
4687106631149561834,2658483631172681608
-6097805585051225509,2658483631172681608
4687106631149561834,4033657468963011108
8138222883700124593,4033657468963011108
4687106631149561834,7134459616448420523
-6097805585051225509,7134459616448420523
4687106631149561834,-3949155857002537439
-6097805585051225509,-3949155857002537439
4687106631149561834,6305431811493591421
-6097805585051225509,6305431811493591421
4687106631149561834,-7658804840604277972
-6097805585051225509,-7658804840604277972
4687106631149561834,8358732503182756836
-2672473053555925323,8358732503182756836
4687106631149561834,8787537992793436802
-2672473053555925323,8787537992793436802
4687106631149561834,-3800388582638056987
6298733530135793627,-3800388582638056987
4687106631149561834,-8594894469721422669
8138222883700124593,-8594894469721422669
4687106631149561834,5577056284794044456
-3616167640001006748,5577056284794044456
4687106631149561834,-7271700770402614988
3671262848689025573,-7271700770402614988
4687106631149561834,1158574475465988437
-6097805585051225509,1158574475465988437
4687106631149561834,8820268229700633699
-2672473053555925323,8820268229700633699
4687106631149561834,-8922782567901009631
-6097805585051225509,-8922782567901009631
4687106631149561834,-4069176015977813356
8138222883700124593,-4069176015977813356
4687106631149561834,1917734235523403249
-6097805585051225509,1917734235523403249
4687106631149561834,-5078520615616803354
-3616167640001006748,-5078520615616803354
4687106631149561834,3346323288299014591
-6097805585051225509,3346323288299014591
4687106631149561834,8328729055521736940
-6097805585051225509,8328729055521736940
4687106631149561834,-2047752544064102925
-3616167640001006748,-2047752544064102925
4687106631149561834,4347520951127795527
-3616167640001006748,4347520951127795527
4687106631149561834,-7731377919496702538
-3616167640001006748,-7731377919496702538
4687106631149561834,-4959056516146817978
-3121909766728792320,-4959056516146817978
4687106631149561834,3913647366057305534
-2672473053555925323,3913647366057305534
4687106631149561834,-6414930441205164116
-6097805585051225509,-6414930441205164116
4687106631149561834,-6928489785756727151
-2672473053555925323,-6928489785756727151
4687106631149561834,-4105777116328546013
-3616167640001006748,-4105777116328546013
4687106631149561834,8242288545817237315
-3616167640001006748,8242288545817237315
4687106631149561834,-4715160876827276405
-3616167640001006748,-4715160876827276405
4687106631149561834,-4868211483355306857
-3616167640001006748,-4868211483355306857
4687106631149561834,4134327789838580594
-6097805585051225509,4134327789838580594
4687106631149561834,-5515578813425010152
-3616167640001006748,-5515578813425010152
4687106631149561834,-695181502541221001
8138222883700124593,-695181502541221001
4687106631149561834,-2012540046242015878
-2672473053555925323,-2012540046242015878
4687106631149561834,5581384825673036176
-6097805585051225509,5581384825673036176
4687106631149561834,-5406829485758784910
-3616167640001006748,-5406829485758784910
4687106631149561834,4536173456120835839
-2672473053555925323,4536173456120835839
4687106631149561834,-3985518145787586660
-3121909766728792320,-3985518145787586660
4687106631149561834,6174184358061815310
8138222883700124593,6174184358061815310
4687106631149561834,-4014830956206397512
8138222883700124593,-4014830956206397512
4687106631149561834,-4354425018363161120
8138222883700124593,-4354425018363161120
4687106631149561834,1898705892334463497
8138222883700124593,1898705892334463497
4687106631149561834,-5843622213865824649
8138222883700124593,-5843622213865824649
4687106631149561834,-6189476171669222251
8138222883700124593,-6189476171669222251
4687106631149561834,8559285239374345017
8138222883700124593,8559285239374345017
4687106631149561834,1747449371905897751
8138222883700124593,1747449371905897751
4687106631149561834,3699616587685956604
8138222883700124593,3699616587685956604
4687106631149561834,2420298609324895101
8138222883700124593,2420298609324895101
4687106631149561834,-1971034286674973729
8138222883700124593,-1971034286674973729
4687106631149561834,8832986946494719448
8138222883700124593,8832986946494719448
4687106631149561834,2906924171690422442
8138222883700124593,2906924171690422442
4687106631149561834,-7771941778525226765
8138222883700124593,-7771941778525226765
4687106631149561834,1764261229527399817
8138222883700124593,1764261229527399817
4687106631149561834,9209244150291795886
8138222883700124593,9209244150291795886
4687106631149561834,4306966170901701897
8138222883700124593,4306966170901701897
4687106631149561834,7731216744449726054
8138222883700124593,7731216744449726054
4687106631149561834,5011873809466347649
8138222883700124593,5011873809466347649
4687106631149561834,111222315957724424
8138222883700124593,111222315957724424
4687106631149561834,6396583570320939803
8138222883700124593,6396583570320939803
4687106631149561834,-179203428187923041
8138222883700124593,-179203428187923041
4687106631149561834,-3693214457786894109
8138222883700124593,-3693214457786894109
4687106631149561834,-7987812862726124737
8138222883700124593,-7987812862726124737
4687106631149561834,4221458780788582122
8138222883700124593,4221458780788582122
4687106631149561834,-2971504927676404623
8138222883700124593,-2971504927676404623
4687106631149561834,-8319937009661884739
8138222883700124593,-8319937009661884739
4687106631149561834,-79481521993764003
8138222883700124593,-79481521993764003
4687106631149561834,-3247491672987866553
8138222883700124593,-3247491672987866553
4687106631149561834,1377548009455815041
8138222883700124593,1377548009455815041
4687106631149561834,-2320565335584655158
8138222883700124593,-2320565335584655158
4687106631149561834,2119849747918215586
8138222883700124593,2119849747918215586
4687106631149561834,5106834610030381423
8138222883700124593,5106834610030381423
4687106631149561834,-4213544424654966347
8138222883700124593,-4213544424654966347
4687106631149561834,-7557579843470937774
8138222883700124593,-7557579843470937774
4687106631149561834,-3598738251005464661
8138222883700124593,-3598738251005464661
4687106631149561834,-4837766083348694636
8138222883700124593,-4837766083348694636
4687106631149561834,-3135939593509773659
8138222883700124593,-3135939593509773659
4687106631149561834,-126500298396270973
8138222883700124593,-126500298396270973
4687106631149561834,183037357662878665
8138222883700124593,183037357662878665
4687106631149561834,-5274102488509141000
8138222883700124593,-5274102488509141000
4687106631149561834,5326485889857883211
8138222883700124593,5326485889857883211
4687106631149561834,-3988740076264491611
8138222883700124593,-3988740076264491611
4687106631149561834,5642156329064072291
8138222883700124593,5642156329064072291
4687106631149561834,7509819476587960898
8138222883700124593,7509819476587960898
4687106631149561834,-1021848914804028405
8138222883700124593,-1021848914804028405
4687106631149561834,-7122043102757632501
-5976845813157767928,-7122043102757632501
4687106631149561834,-403032680960270643
-5976845813157767928,-403032680960270643
4687106631149561834,-9202435117493603916
-5976845813157767928,-9202435117493603916
4687106631149561834,6897714455110202592
-5976845813157767928,6897714455110202592
4687106631149561834,-6434641446945098189
-5976845813157767928,-6434641446945098189
4687106631149561834,-172586312481236791
6298733530135793627,-172586312481236791
4687106631149561834,-7353597885850868288
-6097805585051225509,-7353597885850868288
4687106631149561834,2015906975395286919
-2672473053555925323,2015906975395286919
4687106631149561834,4614137262406384866
8138222883700124593,4614137262406384866
4687106631149561834,6304290016268959862
-2672473053555925323,6304290016268959862
4687106631149561834,5638360374687883843
-6097805585051225509,5638360374687883843
4687106631149561834,3571867262326618424
-6097805585051225509,3571867262326618424
4687106631149561834,-7384125180277772375
-6097805585051225509,-7384125180277772375
4687106631149561834,-1492693076136620461
-6097805585051225509,-1492693076136620461
4687106631149561834,3690960989903390566
-6097805585051225509,3690960989903390566
4687106631149561834,-8875824965747208220
-6097805585051225509,-8875824965747208220
4687106631149561834,8006580400748603350
-6097805585051225509,8006580400748603350
4687106631149561834,-7259903407977506529
-3616167640001006748,-7259903407977506529
4687106631149561834,-7644038091052747385
-5976845813157767928,-7644038091052747385
4687106631149561834,-3540605382315341655
-3121909766728792320,-3540605382315341655
4687106631149561834,-7739289421292219611
-6097805585051225509,-7739289421292219611
4687106631149561834,7081936911244679108
-5976845813157767928,7081936911244679108
4687106631149561834,-1470330294033677754
8138222883700124593,-1470330294033677754
4687106631149561834,-8477732808664671129
-6097805585051225509,-8477732808664671129
4687106631149561834,-6206899854667436208
-6097805585051225509,-6206899854667436208
4687106631149561834,1204988516306204393
-3121909766728792320,1204988516306204393
4687106631149561834,-4603051800645550977
-3616167640001006748,-4603051800645550977
4687106631149561834,-6676666574136712700
-6097805585051225509,-6676666574136712700
4687106631149561834,2511777956635365185
-6097805585051225509,2511777956635365185
4687106631149561834,-6565242798320182767
-6097805585051225509,-6565242798320182767
4687106631149561834,-2386235550493508417
-6097805585051225509,-2386235550493508417
4687106631149561834,3333509158873774528
-6097805585051225509,3333509158873774528
4687106631149561834,8425631779711818557
-2672473053555925323,8425631779711818557
4687106631149561834,-7856597405426253221
8138222883700124593,-7856597405426253221
4687106631149561834,-5648192418408598503
-6097805585051225509,-5648192418408598503
4687106631149561834,9195805320545791672
-6097805585051225509,9195805320545791672
4687106631149561834,3234444289346639326
-6097805585051225509,3234444289346639326
4687106631149561834,-6354712720813766716
-2672473053555925323,-6354712720813766716
4687106631149561834,-7214231157262919637
