:END_ID(Dataset),:START_ID(Provider)
-1187647710758012332,-6988474759760479269
8061413378024680437,-9010784804589809350
7299215229897291942,-3404991114411842150
5851644020844988778,-9010784804589809350
-844350128048295077,-6988474759760479269
5854620814084235973,-6988474759760479269
8345960066533896103,-6988474759760479269
-9044042354245388919,-6988474759760479269
2543029997862207084,-6988474759760479269
7003380133954605774,-6988474759760479269
-6901273710818369567,5477120777670337747
1445679749316350548,-6988474759760479269
12606794363943027,3480699874813928576
3016970482810912254,6499211476411867222
5492122302516928163,-6988474759760479269
-5023114222634135438,6499211476411867222
-1822247597465271152,-8963744389736154916
2244751143361628826,-6988474759760479269
-4843941545767036718,-6988474759760479269
-2866404124012956663,-6988474759760479269
-4745503864666191151,-6988474759760479269
5302896901095311044,-6988474759760479269
-7238426373910156605,-6988474759760479269
4444715222447175622,-6988474759760479269
-256049644003395459,-6988474759760479269
-1751439232730159616,-6988474759760479269
-8093675081940593503,-6988474759760479269
5668673350108239136,5395116835390155493
2977289373780002389,7423940668965076425
2699390249162081113,7423940668965076425
4681979514467987997,7423940668965076425
-826620080065153456,-6988474759760479269
2867111457057173163,-6988474759760479269
-2325789969592411461,-6988474759760479269
197353788954193312,-9010784804589809350
1364075366968013824,-6988474759760479269
-1647840456670976164,2013627641269428467
-6622387741110337257,4346761237443812874
4368753399310105941,-6988474759760479269
4341241790710949656,-6988474759760479269
6721716484149787005,-6988474759760479269
5797753234400643916,-6988474759760479269
7035661722928272351,1475776428538762756
-5807992694643253480,-6988474759760479269
-6974689150885852257,-6988474759760479269
4678201866638305203,-6988474759760479269
2939189804718620105,8584000777000546424
861360850507158772,-3675470546734757779
8939703417034479746,-3675470546734757779
6572420355631175274,-3675470546734757779
3483578412374188487,-3675470546734757779
3184141199837423945,-3675470546734757779
-6856809852287575455,-3675470546734757779
4605661935115746638,-3675470546734757779
-1081970498107205403,-3675470546734757779
-3788942896457914520,-3675470546734757779
6479669190872895799,-3675470546734757779
-5258748837352502998,-3675470546734757779
-8244968277046515074,-3675470546734757779
-5593195868050347690,-3675470546734757779
-7134710209112517060,-3675470546734757779
-1981926106077581322,-3675470546734757779
3700419649893136703,-3675470546734757779
2593669323620695128,-3675470546734757779
6524481733580384841,-3675470546734757779
3874336844798842742,-3675470546734757779
-2745695693042010682,-6988474759760479269
-812874328131991977,7134745942422723632
8393909120849349220,5089565372784393543
3281080928134901698,5089565372784393543
7322635868424064441,5089565372784393543
-4374821297554522551,5089565372784393543
7728462018738747898,5089565372784393543
-3965761103745543129,5089565372784393543
-2672154794112561956,5089565372784393543
-7199495555811137369,5089565372784393543
2394081867183332210,5089565372784393543
6350649493053697180,5089565372784393543
-7970358441830800537,5089565372784393543
-2703212453729443769,5089565372784393543
108139340595639797,5089565372784393543
2930774890008922748,5089565372784393543
6546526495887855989,5089565372784393543
3693427440895108848,-6933483095904175535
3490468038019034881,-6933483095904175535
5345364332617679280,-6933483095904175535
-3978407813540348801,-6933483095904175535
-770460566234890394,-6933483095904175535
-7303228434463301616,6924330910400677712
5035034354279890180,2617123300533018341
-6541101144517074397,2617123300533018341
5159754259302927602,2617123300533018341
-3754493622077896711,5089565372784393543
3113325349287313520,5089565372784393543
-2151061413424190871,5089565372784393543
-3725743345675199541,5089565372784393543
906127239595869255,5089565372784393543
-6345558341031665180,5089565372784393543
8273785158541766178,5089565372784393543
-8735722182243881306,5089565372784393543
51554478851827955,5089565372784393543
8070996698752106582,806584085206006657
-2929974824086017251,5089565372784393543
3493775443953445422,5089565372784393543
-1338238967532347878,5089565372784393543
8126337886357269101,5089565372784393543
6740071616454676400,5089565372784393543
4940644091094973912,5089565372784393543
-8739689227631860206,6293828139198881091
1012831241721293163,-6821893119495032209
-7448725554233780373,-6821893119495032209
